FacilityID,CampsiteName,CampsiteLongitude,CampsiteLatitude
10045243,Unit 1 ,-70.07284,42.044925
10045245,Unit 2,-70.072767,42.044872
10045247,Unit 3,-70.07269,42.044817
231990,1,-87.27,34.022222
232423,1,-87.319722,34.102778
10046288,2,-89.730706,34.421509
10046828,AA Barn,-105.83813,40.20194
233786,33,-89.3544,38.616093
10046933,1,-118.529897,35.574779
273309,Site 1,-123.66221,43.9858
10047120,1,-88.759159,46.079884
233196,1,-121.275895,43.711973
10047182,1,-121.395204,40.44297
10048964,Group Site 1,-114.802881,36.035558
10048970,Picnic Shelter,-72.023392,42.427326
258992,Houchin Ferry Site 1,-86.237346,37.201947
10048983,White Oak,-86.050281,37.216484
10048998,1 (BOAT-IN ONLY),-120.713627,37.811399
250850,1,-95.375342,38.891197
233192,31,-121.19519,43.729711
10049271,Group Camp,-88.738213,39.452899
10049272,1,-89.799108,34.406049
10049273,Pinon Groupsite A,-108.481474,34.137689
233526,1,-93.44256,34.575562
10050235,Site 1,-94.094106,34.193944
10050257,Site 1,-94.09253,34.14001
10051899,M6 - 7:00am-8:00am,-77.046035,38.888581
10051955,S11 - 7:00am-8:00am,-77.048822,38.891569
10051978,M11 - 7:00am-8:00am,-77.03429,38.886545
10052002,M1 - 7:00am-8:00am,-77.046935,38.88597
10052058,S1 - 7:00am-8:00am,-77.041556,38.881423
10052157,1,-93.508715,32.702247
10052192,1,-93.448152,32.368113
10052204,S9 - 7:00am-8:00am,-77.032905,38.880706
10052227,1,-108.488862,34.137191
10052246,1,-93.9189,33.7396
10052578,M12 - 7:00am-8:00am,-77.022307,38.85758
10052638,Site 1,-95.401768,36.251507
10052650,1,-111.395809,33.527174
10053729,1,-93.472103,34.632815
10053759,Hurricane Landing 1,-89.584594,34.493496
10053793,A1,-95.582282,33.837773
232453,1,-119.624302,37.663759
10054654,A1,-93.471565,35.425231
233569,C15,-93.792065,37.662688
231978,63,-123.956964,45.283285
251548,A01,-122.167594,43.169297
251907,A03,-122.404714,43.27258
232343,1,-120.024446,38.478365
10058090,1,-93.767828,34.240012
10049434,A1,-94.169729,35.438939
10058234,1,-93.712941,34.150022
10058259,1,-96.937183,39.140303
10058299,1,-96.975638,39.214109
10060225,Ford's Well 1,-89.790571,34.126431
233425,GR001,-93.509938,38.211014
10060948,Site 001,-123.02217,43.20097
262702,Site 001,-122.95209,43.37983
